,source_id,source_lat,source_lon,type,ipcc_sector,number_overflights,source_persistence,confidence_in_persistence,qsource,sigma_qsource
514,P00521,31.7593389733333,-101.749956233333,pipeline,1B2 Oil & Natural Gas,5,0.6,0.7626953125,166.06333512,51.341115954
515,P00522,31.80783079,-104.1261362,compressor,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,62.0161148333333,18.6789466377778
516,P00523,32.16222151,-104.3444063,tank,1B2 Oil & Natural Gas,11,0.181818181818182,0.957764863967896,41.4063368772727,12.6662628909091
517,P00524,32.0008612333333,-104.216802366667,pipeline,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,99.839580643,28.767675491
518,P00525,31.78152551,-104.0636787,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,143.68241757,65.774860736
519,P00526,31.64831881,-103.8138852,tank,1B2 Oil & Natural Gas,12,0.166666666666667,0.968323647975922,66.3103832708333,21.06423595125
520,P00527,31.77158871,-103.95230425,well,1B2 Oil & Natural Gas,9,0.444444444444444,0.924915313720703,218.193828088889,82.7951187444444
521,P00528,31.90492,-104.038487,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,15.6787343666667,4.91298087333333
522,P00529,31.870651645,-104.035510375,tank,1B2 Oil & Natural Gas,9,0.444444444444444,0.924915313720703,134.270824033333,43.3658883133333
523,P00530,31.884250835,-103.9496174,pipeline,1B2 Oil & Natural Gas,7,0.142857142857143,0.86651611328125,68.0534774571428,21.9829931285714
524,P00531,31.8826681966667,-103.959236,tank,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,34.2493935222222,13.8356101544444
525,P00532,31.79738264,-103.9305925,processing,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,13.41400618,5.84139561
526,P00533,31.9812202866667,-104.062303766667,compressor,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,63.2237079833333,20.7046933316667
527,P00534,31.769913,-103.910938,pipeline,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,46.21519058,17.64470574
528,P00535,32.05182645,-104.1175389,tank,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,11.2876435727273,4.71526942272727
529,P00536,32.189396,-104.206266,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,98.2403569333333,31.9943589611111
530,P00537,31.6060477,-103.6688809,tank,1B2 Oil & Natural Gas,6,0.166666666666667,0.822021484375,31.8685371166667,11.8338170533333
531,P00538,32.109372,-104.029867,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,81.84664113,40.72816809
532,P00539,31.8959857,-103.8427954,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,19.3437473,8.282684355
533,P00540,31.724005,-103.71448,well,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,33.1370442,8.48328392625
534,P00541,32.23461,-103.999856,compressor,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,225.1845554,58.05692236
535,P00542,32.0350938314286,-103.876332771429,tank,1B2 Oil & Natural Gas,9,0.444444444444444,0.924915313720703,127.919174203704,38.2839306440741
536,P00543,32.034201986,-103.87001774,tank,1B2 Oil & Natural Gas,8,0.375,0.899887084960938,94.2130245916667,26.00010750375
537,P00544,31.751981335,-103.6388074,compressor,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,110.421585888889,46.760391095
538,P00545,31.64111345,-103.5137883,tank,1B2 Oil & Natural Gas,6,0.333333333333333,0.822021484375,115.23449745,60.4185796666667
539,P00546,32.218327,-104.011801,pipeline,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,55.86170736,9.769370866
540,P00547,31.96350104,-103.6967396,compressor,1B2 Oil & Natural Gas,6,0.166666666666667,0.822021484375,75.56495395,15.3685611216667
541,P00548,31.646892,-103.373824,pipeline,1B2 Oil & Natural Gas,4,0.25,0.68359375,32.116976275,6.605516515
542,P00549,32.5073383533333,-103.671838366667,compressor,1B2 Oil & Natural Gas,3,1.0,0.578125,204.583494533333,101.050180543333
543,P00550,31.77549475,-103.35249175,tank,1B2 Oil & Natural Gas,5,0.6,0.7626953125,267.15277165,112.7868246
544,P00551,32.26807742,-103.7608278,well,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,37.9610499363636,10.5010835636364
545,P00552,32.49137218,-103.7120391,well,1B2 Oil & Natural Gas,2,0.5,0.4375,129.8886661,64.4588731
546,P00553,31.743801,-104.083837,compressor,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,202.3432656,76.25161052
547,P00554,32.01834791,-104.3161933,pipeline,1B2 Oil & Natural Gas,12,0.0833333333333333,0.968323647975922,127.82677975,54.9202738166667
548,P00556,31.5446475,-103.8046515,tank,1B2 Oil & Natural Gas,8,0.25,0.899887084960938,82.2879634125,31.6541508125
549,P00557,31.897796395,-104.11563305,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,65.97981511,11.940017683
550,P00558,31.493751,-103.686904,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,10.33331823,6.036881623
551,P00559,31.91279962,-103.89179135,tank,1B2 Oil & Natural Gas,7,0.285714285714286,0.86651611328125,108.262678057143,47.1894239571428
552,P00560,31.691229,-103.662419,well,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,51.1693138125,9.42972081375
553,P00561,31.89712706,-103.8541406,tank,1B2 Oil & Natural Gas,8,0.25,0.899887084960938,91.013789,25.1888358075
554,P00562,31.892189,-103.846823,compressor,1B2 Oil & Natural Gas,8,0.25,0.899887084960938,40.0107195,17.5863929075
555,P00563,31.61100825,-103.52882015,well,1B2 Oil & Natural Gas,5,0.2,0.7626953125,35.22533142,11.003007288
556,P00564,31.6670963,-103.5790441,compressor,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,13.5100131625,4.17997874125
557,P00565,31.7482683375,-103.6481557125,compressor,1B2 Oil & Natural Gas,9,0.555555555555556,0.924915313720703,135.914508851852,56.7785192348148
558,P00566,31.788153365,-103.6853542,processing,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,58.7508096444444,11.0660849333333
559,P00567,31.95586691,-103.846756,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,36.8802468888889,4.12486867111111
560,P00568,32.03596643,-103.9028255,tank,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,33.3123297777778,14.20924792
561,P00569,32.0927934925,-103.947230875,well,1B2 Oil & Natural Gas,9,0.444444444444444,0.924915313720703,131.740633577778,54.2573558555556
562,P00571,32.2115623385714,-104.060216171429,pipeline,1B2 Oil & Natural Gas,9,0.666666666666667,0.924915313720703,108.965140368889,41.9459923755556
563,P00572,32.2108443333333,-104.063430166667,well,1B2 Oil & Natural Gas,9,0.666666666666667,0.924915313720703,183.771117806667,103.058027448889
564,P00573,31.968437655,-103.863919075,compressor,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,115.3289524,49.7047499766667
565,P00574,31.754019085,-103.6194621,tank,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,48.4296764,18.4789683477778
566,P00575,32.3106969066667,-104.060680966667,tank,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,74.23428541,49.790650921
567,P00576,32.15955618,-103.939462233333,pipeline,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,28.859696,9.00356536111111
568,P00577,31.91784598,-103.7125044,compressor,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,19.2657754222222,8.28325168
569,P00578,31.960087075,-103.74213345,tank,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,69.3411232555556,25.0783992711111
570,P00579,32.2554645516667,-103.981994266667,tank,1B2 Oil & Natural Gas,10,0.5,0.943686485290527,276.09040211,115.869803812
571,P00580,32.3383597,-104.044993728571,tank,1B2 Oil & Natural Gas,10,0.6,0.943686485290527,153.16378039,86.542331006
572,P00581,31.95334755,-103.6698788,well,1B2 Oil & Natural Gas,7,0.142857142857143,0.86651611328125,56.5761221,18.8146382571429
573,P00582,31.78030946,-103.5636635,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,21.87556195,11.44035985875
574,P00583,31.7574058975,-103.511824675,processing,1B2 Oil & Natural Gas,8,0.5,0.899887084960938,106.8467629,35.93104051125
575,P00584,31.949848,-103.605526,well,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,21.0297320727273,8.58321163818182
576,P00585,32.0644245666667,-103.66488605,tank,1B2 Oil & Natural Gas,10,0.6,0.943686485290527,199.236353713,61.918519765
577,P00586,32.172432,-103.731238,compressor,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,18.9267486727273,11.5870108454545
578,P00587,32.171593,-104.3123191,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,49.61698729,13.95931806
579,P00588,32.113128,-104.274992,compressor,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,47.0396779333333,14.5602891111111
580,P00589,32.0794590875,-104.263604625,tank,1B2 Oil & Natural Gas,9,0.444444444444444,0.924915313720703,150.129283477778,34.1506598433333
581,P00590,32.13864046,-104.2204184,compressor,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,64.49664994,26.0814041
582,P00591,32.80482009,-104.1867798,tank,1B2 Oil & Natural Gas,2,0.5,0.4375,141.15267375,26.18468637
583,P00592,32.800134,-104.199361,tank,1B2 Oil & Natural Gas,2,0.5,0.4375,355.9551751,31.513237065
584,P00593,32.2938865,-101.8313161,well,1B2 Oil & Natural Gas,5,0.2,0.7626953125,122.15403452,27.48465982
585,P00594,31.90295857,-101.8724356,tank,1B2 Oil & Natural Gas,6,0.666666666666667,0.822021484375,252.964011133333,91.649396075
586,P00595,32.320632,-103.785516,pipeline,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,25.68396449,13.70287384
587,P00596,32.297113,-103.797259,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,8.589710876,4.229161618
588,P00597,31.9133962233333,-103.4721449,well,1B2 Oil & Natural Gas,12,0.166666666666667,0.968323647975922,25.7709397166667,6.597174325
589,P00598,32.2689650075,-103.806292825,tank,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,83.67900893,29.341643408
590,P00599,32.330252,-103.831355,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,26.72179636,13.85250711
591,P00600,32.306604,-103.792181,tank,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,10.5711546090909,4.76609860181818
592,P00601,31.82844789375,-103.5137343,pipeline,1B2 Oil & Natural Gas,10,0.6,0.943686485290527,185.5126053,56.8055037226667
593,P00602,32.0812081625,-103.725029025,tank,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,43.075875996,16.3505806165
594,P00603,31.930270218,-103.6283875,compressor,1B2 Oil & Natural Gas,11,0.363636363636364,0.957764863967896,239.554395695455,83.5297302136364
595,P00604,31.827986,-103.5432255,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,33.52074163,16.75266413
596,P00605,31.822754,-103.564238,well,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,22.8810018875,12.520911275
597,P00606,32.161236,-103.827936,processing,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,39.5673621444444,29.2174485555556
598,P00607,31.975267976,-103.75106664,tank,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,136.270811618519,55.6136787266667
599,P00608,32.248124,-103.970194,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,17.63763971,16.2049043
600,P00609,32.2825976666667,-104.084936666667,tank,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,119.244646011111,48.2259993366667
601,P00610,32.2097353333333,-103.981408333333,well,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,33.484865203,14.448754426
602,P00611,32.319187,-104.064325666667,tank,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,66.893468597,42.086095591
603,P00612,32.193451,-103.965044,tank,1B2 Oil & Natural Gas,8,0.25,0.899887084960938,58.022879855,21.65242367125
604,P00613,31.968244,-103.823561,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,14.657340275,13.664271475
605,P00614,32.30599417,-104.0610556,compressor,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,14.4471068555556,11.1932229222222
606,P00615,32.307405,-104.060408,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,12.5314777555556,13.0668204444444
607,P00616,31.675426,-103.593018,tank,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,44.3408204222222,17.7974523888889
608,P00617,31.868038,-103.786251,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,17.6330767777778,11.5801190444444
609,P00618,31.956465002,-103.8275847,tank,1B2 Oil & Natural Gas,8,0.5,0.899887084960938,95.0825668575,27.52899338375
610,P00619,32.15281251,-104.0049947,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,11.20573823,7.810440776
611,P00620,32.183263,-104.0270775,pipeline,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,16.07783448,8.563086578
612,P00621,32.18643114,-104.051723928571,pipeline,1B2 Oil & Natural Gas,10,0.6,0.943686485290527,133.49175996,55.463113739
613,P00622,32.253707,-104.061712,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,15.818796,13.4580896777778
614,P00623,31.908022,-103.854122,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,27.1788933111111,18.9184829555556
615,P00624,31.7644038,-103.7239335,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,65.820414925,25.7946520875
616,P00625,31.9406510633333,-103.867067733333,tank,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,91.9968113666667,31.4892735711111
617,P00626,31.882773,-103.859731,well,1B2 Oil & Natural Gas,7,0.142857142857143,0.86651611328125,78.1734625571428,43.8598100714286
618,P00627,31.969934,-103.913256,tank,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,13.9930207666667,9.12120214222222
619,P00628,31.99989,-103.9417375,tank,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,13.8165584333333,10.5013882188889
620,P00629,32.2610055,-104.1241305,processing,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,60.2422008,29.8065210811111
621,P00630,32.2693496666667,-104.140860666667,tank,1B2 Oil & Natural Gas,10,0.3,0.943686485290527,83.08600689,49.82726132
622,P00631,31.986741,-103.904661,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,23.4794976444444,12.9499633
623,P00632,31.846194,-103.855155,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,45.839312325,26.606737075
624,P00633,31.92705865,-103.9005785,tank,1B2 Oil & Natural Gas,7,0.285714285714286,0.86651611328125,166.649085628571,64.6720694
625,P00634,31.82334554,-103.853079,pipeline,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,38.5419238,23.9907864875
626,P00635,31.999138,-103.947187,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,38.5223690777778,28.0206709888889
627,P00636,32.063536,-104.017728,compressor,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,17.2258084333333,12.9398792333333
628,P00637,32.1491557366667,-104.116663166667,tank,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,142.003372111111,51.0474904422222
629,P00638,32.195012,-104.105127,processing,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,17.067809646,7.530691023
630,P00639,31.991444,-103.95973,well,1B2 Oil & Natural Gas,7,0.428571428571429,0.86651611328125,106.731711028571,38.0456693614286
631,P00640,31.597097,-103.717428,compressor,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,33.0527205125,11.647923915
